Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,0,1,3,230,1,3,3,1,3,1,54,3,1,2,3,2,1420,3,25233,1,0,13,3,3,0,0,2,3,0,0,0,0.0
18,0,0,3,812,2,10,3,3,4,0,69,2,1,8,3,2,1200,3,9724,1,0,12,3,1,0,0,2,3,0,0,0,0.0
18,0,1,2,1306,2,5,3,2,2,1,69,3,1,8,2,2,1878,3,8059,1,1,14,3,4,0,0,3,3,0,0,0,0.0
18,0,0,0,287,1,5,2,1,2,1,73,3,1,6,4,2,1051,3,13493,1,0,15,3,4,0,0,2,3,0,0,0,0.0
18,0,1,0,247,1,8,1,3,3,1,80,3,1,2,3,2,1904,3,13556,1,0,12,3,4,0,0,0,3,0,0,0,0.0
18,0,0,0,1124,1,1,3,1,4,0,97,3,1,2,4,2,1611,3,19305,1,0,15,3,3,0,0,5,4,0,0,0,0.0
18,0,1,2,544,2,3,2,3,2,0,70,3,1,8,4,2,1569,3,18420,1,1,12,3,3,0,0,2,4,0,0,0,0.0
18,0,0,0,1431,1,14,3,3,2,0,33,3,1,6,3,2,1514,3,8018,1,0,16,3,3,0,0,4,1,0,0,0,0.0
19,0,1,3,528,2,22,1,2,4,1,50,3,1,8,3,2,1675,3,26820,1,1,19,3,4,0,0,2,2,0,0,0,0.0
19,0,0,3,1181,1,3,1,3,2,0,79,3,1,2,2,2,1483,3,16102,1,0,14,3,4,0,1,3,3,1,0,0,0.0
19,0,1,2,602,2,1,1,5,3,0,100,1,1,8,1,2,2325,3,20989,0,0,21,4,1,0,1,5,4,0,0,0,0.0
19,0,1,3,303,1,2,3,1,2,1,47,2,1,2,4,2,1102,3,9241,1,0,22,4,3,0,1,3,2,1,0,1,0.0
19,0,1,3,489,0,2,2,5,1,1,52,2,1,1,4,2,2564,3,18437,1,0,12,3,3,0,1,3,4,1,0,0,0.0
19,0,1,3,419,2,21,3,4,4,1,37,2,1,8,2,2,2121,3,9947,1,1,13,3,2,0,1,3,4,1,0,0,0.0
19,0,0,3,645,1,9,2,1,3,1,54,3,1,6,1,2,2552,3,7172,1,0,25,4,3,0,1,4,3,1,1,0,0.0
19,0,1,0,504,1,10,3,3,1,0,96,2,1,6,2,2,1859,3,6148,1,1,25,4,2,0,1,2,4,1,1,0,0.0
19,0,0,3,265,1,25,3,1,2,0,57,4,1,6,4,2,2994,3,21221,1,1,12,3,4,0,1,2,3,1,0,0,1.0
20,0,1,2,871,1,6,3,1,4,0,66,2,1,2,4,2,2926,3,19783,1,1,18,3,2,0,1,5,3,1,0,1,0.0
20,0,0,3,959,1,1,3,1,4,0,83,2,1,6,2,2,2836,3,11757,1,0,13,3,4,0,1,0,4,1,0,0,0.0
20,0,1,3,1362,1,10,1,3,4,1,32,3,1,6,3,2,1009,3,26999,1,1,11,3,4,0,1,5,3,1,0,1,1.0
20,0,1,3,500,2,2,3,3,3,0,49,2,1,8,3,2,2044,3,22052,1,0,13,3,4,0,2,3,2,2,2,0,2.0
20,0,1,3,129,1,4,3,5,1,1,84,3,1,2,1,2,2973,3,13008,1,0,19,3,2,0,1,2,3,1,0,0,0.0
20,0,1,3,1097,1,11,3,3,4,0,98,2,1,6,1,2,2600,3,18275,1,1,15,3,1,0,1,2,3,1,0,0,0.0
20,0,1,2,769,2,9,3,2,4,0,54,3,1,8,4,2,2323,3,17205,1,1,14,3,2,0,2,3,3,2,2,0,2.0
20,0,0,3,805,1,3,3,1,1,1,87,2,1,2,3,2,3033,3,12828,1,0,12,3,1,0,2,2,2,2,2,1,2.0
